"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"67",7,"Damien Williams",ATL,"14","1 out of 5 stars","+8"
"68",7,"D'Ernest Johnson",CLE,"9","3 out of 5 stars","-1"
"69",7,"Jerick McKinnon",KC,"8","3 out of 5 stars","-10"
"70",7,"Rex Burkhead",HOU,"6","3 out of 5 stars","0"
"71",7,"Trey Sermon",SF,"9","2 out of 5 stars","+3"
"72",7,"Jeff Wilson Jr.",SF,"9","2 out of 5 stars","+1"
"73",7,"Myles Gaskin",MIA,"11","4 out of 5 stars","-10"
"74",7,"Mike Davis",BAL,"10","4 out of 5 stars","-2"
"75",7,"Tyrion Davis-Price",SF,"9","2 out of 5 stars","-11"
"76",7,"Zack Moss",BUF,"7","4 out of 5 stars","+2"
"77",7,"Matt Breida",NYG,"9","3 out of 5 stars","+2"
"78",7,"Phillip Lindsay",IND,"14","3 out of 5 stars","+7"
"79",8,"Ke'Shawn Vaughn",TB,"11","2 out of 5 stars","+2"
"80",8,"Hassan Haskins",TEN,"6","4 out of 5 stars","-12"
"81",8,"Ty Johnson",NYJ,"10","4 out of 5 stars","+26"
"82",8,"Kyren Williams",LAR,"7","2 out of 5 stars","+2"
"83",8,"Pierre Strong Jr.",NE,"10","4 out of 5 stars","+11"
"84",8,"Darrynton Evans",CHI,"14","5 out of 5 stars","-"
"85",8,"Giovani Bernard",TB,"11","2 out of 5 stars","+19"
"86",8,"Duke Johnson Jr.",BUF,"7","4 out of 5 stars","+9"
"87",8,"Eno Benjamin",ARI,"13","2 out of 5 stars","+6"
"88",8,"Joshua Kelley",LAC,"8","2 out of 5 stars","-"
"89",8,"Salvon Ahmed",MIA,"11","4 out of 5 stars","-"
"90",8,"Tevin Coleman",NYJ,"10","4 out of 5 stars","+16"
"91",8,"Chris Evans",CIN,"10","3 out of 5 stars","-14"
"92",8,"Jerome Ford",CLE,"9","3 out of 5 stars","-"
"93",8,"Jaret Patterson",WAS,"14","4 out of 5 stars","+10"
"94",8,"Justin Jackson",DET,"6","4 out of 5 stars","-"
"95",8,"David Johnson",FA,"-","-","+3"
"96",8,"Malcolm Brown",NO,"14","3 out of 5 stars","-"
"97",8,"Tyler Badie",BAL,"10","4 out of 5 stars","-6"
"98",8,"Devontae Booker",FA,"-","-","-6"
"99",8,"Snoop Conner",JAC,"11","3 out of 5 stars","-2"
"100",8,"Dontrell Hilliard",TEN,"6","4 out of 5 stars","-14"
"101",9,"Latavius Murray",FA,"-","-","+1"
"102",9,"Devonta Freeman",FA,"-","-","-2"
"103",9,"Isiah Pacheco",KC,"8","3 out of 5 stars","+6"
"104",9,"Keaontay Ingram",ARI,"13","2 out of 5 stars","-22"
"105",9,"Wayne Gallman Jr.",FA,"-","-","0"
"106",9,"DeeJay Dallas",SEA,"11","2 out of 5 stars","-"
"107",9,"Derrick Gore",KC,"8","3 out of 5 stars","-20"
"108",9,"Kene Nwangwu",MIN,"7","4 out of 5 stars","-"
"109",9,"Benny Snell Jr.",PIT,"9","3 out of 5 stars","-"
"110",9,"Abram Smith",NO,"14","3 out of 5 stars","-21"
"111",9,"Brandon Bolden",LV,"6","2 out of 5 stars","-28"
"112",9,"Craig Reynolds",DET,"6","4 out of 5 stars","-"
"113",9,"Anthony McFarland Jr.",PIT,"9","3 out of 5 stars","-"
"114",9,"JaMycal Hasty",SF,"9","2 out of 5 stars","-"
"115",9,"Tarik Cohen",FA,"-","-","-"
"116",9,"Kevin Harris",NE,"10","4 out of 5 stars","-"
"117",9,"Tony Jones Jr.",NO,"14","3 out of 5 stars","-27"
"118",9,"Jermar Jefferson",DET,"6","4 out of 5 stars","-"
"119",9,"Kylin Hill",GB,"14","3 out of 5 stars","-"
"120",9,"Mike Boone",DEN,"9","3 out of 5 stars","-"
"121",10,"Jordan Howard",FA,"-","-","-20"
"122",10,"Ameer Abdullah",LV,"6","2 out of 5 stars","-34"
"123",10,"Carlos Hyde",FA,"-","-","-"
"124",10,"Kennedy Brooks",PHI,"7","3 out of 5 stars","-"
"125",10,"Le'Veon Bell",FA,"-","-","-"
"126",10,"Ty Chandler",MIN,"7","4 out of 5 stars","-"
"127",10,"Dare Ogunbowale",HOU,"6","3 out of 5 stars","-"
"128",10,"Travis Homer",SEA,"11","2 out of 5 stars","-"
"129",10,"Rico Dowdle",DAL,"9","4 out of 5 stars","-"
"130",10,"Larry Rountree III",LAC,"8","2 out of 5 stars","-"
"131",10,"Justice Hill",BAL,"10","4 out of 5 stars","-"
"132",10,"Demetric Felton Jr.",CLE,"9","3 out of 5 stars","-"
"133",10,"Trestan Ebner",CHI,"14","5 out of 5 stars","-"
"134",10,"Jeremy McNichols",PIT,"9","3 out of 5 stars","-"
"135",10,"Jerrion Ealy",KC,"8","3 out of 5 stars","-39"
"136",10,"Kyle Juszczyk",SF,"9","2 out of 5 stars","-56"
"137",10,"Patrick Ricard",BAL,"10","4 out of 5 stars","-"
"138",10,"Jashaun Corbin",NYG,"9","3 out of 5 stars","-"
"139",10,"Qadree Ollison",ATL,"14","1 out of 5 stars","-"
"140",10,"C.J. Ham",MIN,"7","4 out of 5 stars","-"
"141",10,"La'Mical Perine",NYJ,"10","4 out of 5 stars","-"
"142",10,"Ryquell Armstead",JAC,"11","3 out of 5 stars","-"
"143",10,"Mataeo Durant",PIT,"9","3 out of 5 stars","-"
"144",10,"Sincere McCormick",LV,"6","2 out of 5 stars","-"
"145",10,"Godwin Igwebuike",DET,"6","4 out of 5 stars","-"
"146",10,"J.J. Taylor",NE,"10","4 out of 5 stars","-"
"147",10,"Jakob Johnson",LV,"6","2 out of 5 stars","-"
"148",10,"Gary Brightwell",NYG,"9","3 out of 5 stars","-"
"149",10,"Trayveon Williams",CIN,"10","3 out of 5 stars","-"
"150",10,"Keith Smith",ATL,"14","1 out of 5 stars","-"
"151",10,"Alec Ingold",MIA,"11","4 out of 5 stars","-"
"152",10,"Kalen Ballage",FA,"-","-","-"
"153",10,"Zonovan Knight",NYJ,"10","4 out of 5 stars","-"
"154",10,"Royce Freeman",HOU,"6","3 out of 5 stars","-"
"155",10,"Jake Funk",LAR,"7","2 out of 5 stars","-56"
"156",10,"Ty Montgomery",NE,"10","4 out of 5 stars","-"
"157",10,"Ty'Son Williams",IND,"14","3 out of 5 stars","-"
"158",11,"Deon Jackson",IND,"14","3 out of 5 stars","-"
"159",11,"Patrick Taylor Jr.",GB,"14","3 out of 5 stars","-"
"160",11,"Jordan Mason",SF,"9","2 out of 5 stars","-"
"161",11,"Khari Blasingame",CHI,"14","5 out of 5 stars","-"
"162",11,"Antonio Williams",NYG,"9","3 out of 5 stars","-"
"163",11,"Kenjon Barner",TB,"11","2 out of 5 stars","-"
"164",11,"Julius Chestnut",TEN,"6","4 out of 5 stars","-"
"165",11,"Devine Ozigbo",NO,"14","3 out of 5 stars","-"
"166",11,"Michael Burton",KC,"8","3 out of 5 stars","-"
"167",11,"Kerryon Johnson",FA,"-","-","-"
"168",11,"Reggie Gilliam",BUF,"7","4 out of 5 stars","-"
"169",11,"Andy Janovich",HOU,"6","3 out of 5 stars","-"
"170",11,"Alex Collins",FA,"-","-","-"
"171",11,"John Kelly Jr.",CLE,"9","3 out of 5 stars","-"
"172",11,"Jaylen Warren",PIT,"9","3 out of 5 stars","-"
"173",11,"Alex Armah Jr.",WAS,"14","4 out of 5 stars","-"
"174",11,"Tory Carter",TEN,"6","4 out of 5 stars","-"
"175",11,"Derek Watt",PIT,"9","3 out of 5 stars","-"
"176",11,"Ben Mason",BAL,"10","4 out of 5 stars","-"
"177",11,"Adam Prentice",NO,"14","3 out of 5 stars","-"
"178",11,"Nick Bawden",NYJ,"10","4 out of 5 stars","-"
"179",11,"Aaron Shampklin",DAL,"9","4 out of 5 stars","-"
"180",11,"Darius Bradwell",CAR,"13","3 out of 5 stars","-"
"181",11,"Gabe Nabers",LAC,"8","2 out of 5 stars","-"
"182",11,"Tyler Goodson",GB,"14","3 out of 5 stars","-"
"183",11,"Pooka Williams Jr.",CIN,"10","3 out of 5 stars","-"
"184",11,"D'Vonte Price",IND,"14","3 out of 5 stars","-"
"185",11,"Brian Hill",SF,"9","2 out of 5 stars","-"
"186",11,"Jonathan Ward",FA,"-","-","-"
"187",11,"Jordan Wilkins",TEN,"6","4 out of 5 stars","-"
"188",11,"Darwin Thompson",SEA,"11","2 out of 5 stars","-"
"189",11,"Chad Simpson",WAS,"14","4 out of 5 stars","-"
"190",11,"Zander Horvath",LAC,"8","2 out of 5 stars","-"
"191",11,"Dwayne Washington",NO,"14","3 out of 5 stars","-"
"192",11,"Adrian Peterson",FA,"-","-","-"
"193",11,"Sandro Platzgummer",NYG,"9","3 out of 5 stars","-"
"194",11,"Javian Hawkins",TEN,"6","4 out of 5 stars","-"
"195",11,"Malik Davis",DAL,"9","4 out of 5 stars","-"
"196",11,"Trenton Cannon",TEN,"6","4 out of 5 stars","-"
"197",12,"Jason Huntley",PHI,"7","3 out of 5 stars","-"
"198",12,"Ricky Person Jr.",BAL,"10","4 out of 5 stars","-"
"199",12,"Greg Bell",FA,"-","-","-"
"200",12,"CJ Verdell",IND,"14","3 out of 5 stars","-"
"201",12,"Jalen Richard",FA,"-","-","-"
"202",12,"Caleb Huntley",ATL,"14","1 out of 5 stars","-"
"203",12,"Jaylen Samuels",FA,"-","-","-"
"204",12,"Brittain Brown",LV,"6","2 out of 5 stars","-"
"205",12,"Nate McCrary",BAL,"10","4 out of 5 stars","-"
"206",12,"Jonathan Williams",WAS,"14","4 out of 5 stars","-"
"207",12,"Ryan Nall",DAL,"9","4 out of 5 stars","-"
"208",12,"Gerrid Doaks",MIA,"11","4 out of 5 stars","-"
"209",12,"Nathan Cottrell",JAC,"11","3 out of 5 stars","-"
"210",12,"BJ Baylor",GB,"14","3 out of 5 stars","-"
"211",12,"Johnny Stanton IV",CLE,"9","3 out of 5 stars","-"
"212",12,"Taiwan Jones",BUF,"7","4 out of 5 stars","-"
"213",12,"Spencer Brown",CAR,"13","3 out of 5 stars","-"
"214",12,"Tayon Fleet-Davis",KC,"8","3 out of 5 stars","-"
"215",12,"A.J. Rose Jr.",LAR,"7","2 out of 5 stars","-"
"216",12,"Bryant Koback",MIN,"7","4 out of 5 stars","-"
"217",12,"Ronnie Rivers",ARI,"13","2 out of 5 stars","-"
"218",12,"Shermari Jones",CIN,"10","3 out of 5 stars","-"
"219",12,"Raheem Blackshear",BUF,"7","4 out of 5 stars","-111"
"220",12,"De'Montre Tuggle",CHI,"14","5 out of 5 stars","-"
"221",12,"Darius Anderson",HOU,"6","3 out of 5 stars","-"
"222",12,"John Lovett",CAR,"13","3 out of 5 stars","-"
"223",12,"Leddie Brown",LAC,"8","2 out of 5 stars","-"
"224",12,"ZaQuandre White",MIA,"11","4 out of 5 stars","-"
"225",12,"Xavier Jones",FA,"-","-","-"
"226",12,"Raymond Calais",FA,"-","-","-"
"227",12,"T.J. Pledger",ARI,"13","2 out of 5 stars","-"
"228",12,"Elijah Holyfield",CIN,"10","3 out of 5 stars","-"
"229",12,"Kevin Marks Jr.",LAC,"8","2 out of 5 stars","-"
"230",12,"Josh Johnson",SEA,"11","2 out of 5 stars","-"
